"title","year","source","found","url"
"A multicenter, randomized, double-blind, placebo-controlled ascending dose st...","2024","None",FALSE,NA
"Cumulative blast impulse is predictive for changes in chronic neurobehavioral...","2024","Unpaywall (publisher)",TRUE,"https://academic.oup.com/milmed/advance-article-pdf/doi/10.1093/milmed/usae082/57123645/usae082.pdf"
"Increased [18F] Fluorodeoxyglucose Uptake in the Left Pallidum in Military Ve...","2024","None",FALSE,NA
"A public resource of baseline data from the Alzheimer's Prevention Initiative...","2023","Unpaywall (publisher)",TRUE,"https://www.medrxiv.org/content/medrxiv/early/2023/01/28/2023.01.26.23285066.full.pdf"
"A randomized controlled clinical trial of prazosin for alcohol use disorder i...","2023","Unpaywall (publisher)",TRUE,"https://link.springer.com/content/pdf/10.1007/s11606-021-07252-z.pdf"
"FDG-PET as a Clinical Diagnostic Biomarker for Repetitive Blast Mild Traumati...","2023","None",FALSE,NA
"Impact of reference region on longitudinal florbetapir PET SUVR changes from ...","2023","None",FALSE,NA
"Longitudinal Sleep Patterns and Cognitive Impairment in Older Adults","2023","None",FALSE,NA
"Pontine pathology mediates common symptoms of blast-induced chronic mild trau...","2023","Unpaywall (publisher)",TRUE,"https://www.medrxiv.org/content/medrxiv/early/2023/01/28/2023.01.26.23285066.full.pdf"
"Prognostic value of plasma biomarkers in a clinical trial of mild-to-moderate...","2023","None",FALSE,NA
"The relative contribution of COVID-19 infection versus COVID-19 related occup...","2023","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/alz.082317"
"Markers of Cerebrovascular Injury, Inflammation, and Plasma Lipids Are Associ...","2022","None",FALSE,NA
"Sex differences in cognitive resilience in preclinical autosomal-dominant Alz...","2022","None",FALSE,NA
"T2 Protect AD: Achieving a rapid recruitment timeline in a multisite clinical...","2022","Unpaywall (publisher)",TRUE,"https://www.nejm.org/doi/pdf/10.1056/NEJM199704243361704?articleTools=true"
"The impact of the COVID-19 pandemic on mental health, occupational functionin...","2022","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/trc2.12265"
"A trial of gantenerumab or solanezumab in dominantly inherited Alzheimer's di...","2021","None",FALSE,NA
"Amyloid and tau pathology associations with personality traits, neuropsychiat...","2021","None",FALSE,NA
"Optimizing aggregated N-of-1 trial designs for predictive biomarker validatio...","2021","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/alz.041225"
"Power and sample size for random coefficient regression models in randomized ...","2021","Unpaywall (publisher)",TRUE,"https://www.frontiersin.org/articles/10.3389/fdgth.2020.00013/pdf"
"Rasagiline effects on glucose metabolism, cognition, and tau in Alzheimer's d...","2021","None",FALSE,NA
"Recruitment of a multi-site randomized controlled trial of aerobic exercise f...","2021","None",FALSE,NA
"The Impact of the COVID-19 Pandemic on Mental Health, Occupational 	 Function...","2021","None",FALSE,NA
"Baseline demographic, clinical, and cognitive characteristics of the Alzheime...","2020","None",FALSE,NA
"Development of a novel cognitive composite outcome to assess therapeutic effe...","2020","None",FALSE,NA
"Optimizing aggregated n-of-1 trial designs for predictive biomarker validatio...","2020","None",FALSE,NA
"PET evidence of preclinical cerebellar amyloid plaque deposition in autosomal...","2020","None",FALSE,NA
"Sex differences in neurodegeneration and memory performance in preclinical au...","2020","None",FALSE,NA
"The Alzheimer’s Prevention Initiative Composite Cognitive Test: a practical m...","2020","None",FALSE,NA
"The Effects of Rasagiline on Glucose Metabolism and Cognition and Their Relat...","2020","None",FALSE,NA
"A randomized clinical trial to evaluate home-based assessment of people over ...","2019","None",FALSE,NA
"F4-04-01: TRIAL DESIGN, DATA SHARING RISK MITIGATION, AND BASELINE CLINICAL A...","2019","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2019.06.4728"
"F4-04-02: AGE-RELATED CHANGES IN BASELINE COGNITIVE MEASURES IN UNIMPAIRED PS...","2019","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2019.06.4727"
"F4-04-03: RELATIONSHIPS BETWEEN BASELINE BRAIN IMAGING BIOMARKER MEASUREMENTS...","2019","None",FALSE,NA
"F4-04-04: ASSOCIATION BETWEEN CEREBRAL AMYLOIDOSIS AND WORSE COGNITIVE PERFOR...","2019","None",FALSE,NA
"Low-dose ladostigil for mild cognitive impairment: A phase 2 placebo-controll...","2019","None",FALSE,NA
"Memantine and acetylcholinesterase inhibitor use in Alzheimer’s disease clini...","2019","None",FALSE,NA
"Multimodal Hippocampal Subfield Grading For Alzheimer’s Disease Classification","2019","None",FALSE,NA
"New Perspective for Non-invasive Brain Stimulation Site Selection in Mild Cog...","2019","None",FALSE,NA
"Prediction and classification of Alzheimer’s disease based on combined featur...","2019","Unpaywall (publisher)",TRUE,"https://www.nejm.org/doi/pdf/10.1056/NEJM199704243361704?articleTools=true"
"Quantitative 18F-AV1451 brain tau PET imaging in cognitively normal older adu...","2019","None",FALSE,NA
"Safety and efficacy of edonerpic maleate for patients with mild to moderate A...","2019","None",FALSE,NA
"The Alzheimer Prevention Initiative Generation Program: Evaluation of CNP520 ...","2019","None",FALSE,NA
"The Alzheimer's Prevention Initiative Generation Program: study design of two...","2019","None",FALSE,NA
"18F-florbetapir Positron Emission Tomography--determined Cerebral beta-Amyloi...","2018","None",FALSE,NA
"Adeno-associated viral vector (serotype 2)--nerve growth factor for patients ...","2018","None",FALSE,NA
"Memantine and Cholinesterase Inhibitor Use in Alzheimer Disease Trials: Poten...","2018","None",FALSE,NA
"P3-032: SCREENING-TO-BASELINE COGNITIVE VARIABILITY DOES NOT PREDICT RATE OF ...","2018","None",FALSE,NA
"P4-209: A PUBLIC RESOURCE OF BASELINE DATA FROM THE API AUTOSOMAL DOMINANT AL...","2018","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2018.07.030"
"Subjective cognitive decline is associated with altered default mode network ...","2018","None",FALSE,NA
"The Alzheimer's Prevention Initiative Autosomal-Dominant Alzheimer's Disease ...","2018","None",FALSE,NA
"A phase 3 trial of IV immunoglobulin for Alzheimer disease","2017","Unpaywall (publisher)",TRUE,"https://jamanetwork.com/journals/jamaneurology/articlepdf/2675302/jamaneurology_rafii_2018_oi_180008.pdf"
"APOE genotype and early beta-amyloid accumulation in older adults without dem...","2017","None",FALSE,NA
"Adding recognition discriminability index to the delayed recall is useful to ...","2017","None",FALSE,NA
"Alzheimer disease brain atrophy subtypes are associated with cognition and ra...","2017","Unpaywall (publisher)",TRUE,"https://n.neurology.org/content/neurology/100/3/165.1.full.pdf"
"Construction and analysis of weighted brain networks from sice for the study ...","2017","None",FALSE,NA
"Conversion discriminative analysis on mild cognitive impairment using multipl...","2017","None",FALSE,NA
"Randomized controlled trials in mild cognitive impairment: sources of variabi...","2017","None",FALSE,NA
